,0
P_2_last,0.5150594863710365
P_2_max,0.271396057433345
P_2_first,0.16881995682608436
D_48_last,0.1657329030894814
B_9_last,0.16164989103655064
B_37_last,0.1581498840307551
B_2_last,0.10632213094148886
D_42_first,0.09480010532774341
R_1_mean,0.08625818683000336
B_3_last,0.07307403332511073
R_1_last,0.07174935098786259
D_44_last,0.06936917780065481
D_39_last,0.06859041870929779
B_23_last,0.06356104441399316
D_45_first,0.060540573385632276
S_3_mean,0.059275102117950396
B_5_last,0.05894895785249667
D_39_max,0.05525349861187623
B_4_last,0.05277848480893597
B_3_std,0.051739630376852724
D_62_mean,0.051194695944055145
D_47_last,0.048378311006468305
S_3_last,0.04565507614709133
D_43_last,0.04517361632172393
B_2_mean,0.04484205747898726
D_121_first,0.04354594346558809
B_18_last,0.04333512085635085
D_46_last_minus_mean,0.0418764145978033
B_4_std,0.041104473150919724
D_46_first,0.04033362366964637
B_4_max,0.04029738806766125
D_50_mean,0.03794849479515824
D_39_last_minus_mean,0.037125970897971226
B_3_last_minus_mean,0.036924308925594555
S_26_max,0.036241206188580795
D_51_mean,0.03588437318123012
D_41_last_minus_first,0.035808307784725206
R_2_last,0.03482742408975202
D_43_mean,0.03454619957569028
D_50_max,0.033162149398070946
D_62_min,0.03283432343236758
B_4_last_minus_mean,0.03250147165339858
R_1_max,0.03167858203288586
D_39_last_minus_first,0.03088083731986823
D_47_first,0.030434964811491896
P_2_last_minus_first,0.029852319454205644
B_10_last,0.02972102970117449
D_41_last_minus_mean,0.029582473058186856
R_3_mean,0.028960210249241145
D_66_first,0.028346232897588072
B_37_last_minus_mean,0.028328104268836536
S_26_std,0.02804656915808656
S_3_min,0.027989915291407652
S_23_std,0.027855828369401547
D_48_mean,0.02753197924376708
D_44_max,0.027261556222974256
D_62_last,0.02714348790866297
B_4_last_minus_first,0.027122226658121418
D_76_last,0.02594792204582378
D_51_last,0.025160316928258975
D_48_last_minus_mean,0.024934427036057843
S_7_mean,0.02460513177345293
D_51_min,0.024362214785447107
D_44_last_minus_mean,0.023929751030284926
D_46_last,0.02342905060187369
B_3_max,0.023050402027316442
S_11_mean,0.022661408283995797
S_15_mean,0.022538901450218123
B_3_last_minus_first,0.02245490278296124
D_50_last,0.02150876535753804
D_39_mean,0.021489097901530013
D_60_last,0.020574846055217463
P_2_last_minus_mean,0.020550936232832884
D_64_last,0.02015933877657657
S_24_last_minus_mean,0.019689967290660082
S_12_mean,0.019510041951713
B_22_last,0.019437050331514074
S_3_max,0.01932918232308186
B_2_min,0.019248121260252736
D_119_min,0.01924511378832669
S_9_mean,0.018827071279954265
R_3_last,0.01860027888910564
D_124_first,0.0185537229545978
D_114_last,0.018183137424688824
S_8_mean,0.01809265844011756
B_8_min,0.01760163914635191
P_3_std,0.01741579492780462
B_3_mean,0.01733040936759658
R_27_first,0.016737072360719436
B_23_mean,0.01669447249577921
R_5_last,0.016217653155403907
P_3_mean,0.016078476443188022
D_79_last,0.01598707995962632
S_11_max,0.015783538481088516
D_50_last_minus_mean,0.015717278424144294
B_14_last_minus_mean,0.015704786110407147
D_112_last,0.01555592509109249
D_44_last_minus_first,0.015274868614870984
B_18_mean,0.015155737117202682
D_65_mean,0.014930837798333953
B_18_min,0.01489600337353645
S_23_last,0.014775118325230726
B_5_last_minus_mean,0.014628189222313919
P_3_max,0.014570782455335132
B_23_std,0.014460265602240719
D_112_last_minus_mean,0.014327965121166596
D_59_last,0.014256509854610926
D_41_last,0.014213131006187282
R_11_mean,0.014099242407610037
B_23_max,0.014056452846099736
D_79_last_minus_mean,0.014049002106682681
D_122_mean,0.013819200393336353
B_9_last_minus_mean,0.013360594720312256
D_119_first,0.013326684440495975
D_131_last,0.013052445934397286
D_75_std,0.013025693796960142
D_117_mean,0.012959743838190386
B_8_last,0.012911141552579043
D_79_std,0.012878852289483203
S_12_min,0.012855654930573016
S_8_max,0.01275528872131508
D_52_min,0.012751620970302167
D_66_last_minus_mean,0.01267182612915461
D_79_mean,0.012611234645464528
S_12_max,0.012580632770926886
D_112_mean,0.012554477904873157
D_46_mean,0.012461427509376772
B_36_mean,0.012366764115010863
R_3_max,0.01232512190233496
D_70_std,0.012300244600534707
D_56_first,0.012254620438014565
S_7_last,0.012180124625355341
D_77_last,0.012065535335054252
D_120_last_minus_mean,0.011918636465892033
