,0
B_21_max,0.008113819
B_12_first,0.008098506
D_70_max,0.0079770535
D_144_std,0.00790883
B_26_mean,0.007817853
R_3_last_minus_mean,0.007808986
B_19_std,0.007799617
S_27_max,0.00775631
D_91_min,0.007720904
R_15_last_minus_mean,0.0076701622
D_105_mean,0.0076530008
B_16_max,0.007628743
D_102_last_minus_first,0.0075594587
S_23_mean,0.0075300997
D_77_last,0.0075097657
D_61_first,0.0074493806
D_60_max,0.0074484404
D_52_last_minus_mean,0.0074083754
S_13_last_minus_mean,0.007371199
D_144_last_minus_first,0.007342389
D_71_last,0.007322442
D_80_last_minus_first,0.007320044
D_120_last,0.007252639
B_19_max,0.0072334916
B_10_mean,0.0071821655
D_117_max,0.007165108
D_46_min,0.007159577
D_56_min,0.007139441
D_107_last_minus_mean,0.007136455
B_4_first,0.0071216444
R_27_last_minus_mean,0.007095378
B_17_last_minus_first,0.007038832
S_3_first,0.007029801
B_25_last,0.0069595496
D_140_last,0.006885212
R_4_last,0.006869707
D_48_std,0.0068564974
D_58_std,0.006784647
S_8_first,0.0067451727
D_71_mean,0.006708383
D_80_last_minus_mean,0.006707838
R_19_last_minus_mean,0.0067072487
D_41_mean,0.0066819475
D_54_last,0.0066330293
P_3_last_minus_first,0.006514615
S_15_last,0.006478226
B_37_last_minus_first,0.0064569185
D_63_nunique,0.0064451173
S_7_last,0.0063757845
D_48_max,0.006301093
R_2_mean,0.006292604
D_102_first,0.0062910346
D_46_max,0.0062575825
D_50_std,0.0062273457
D_119_last,0.0062051085
D_115_max,0.0061717443
D_45_last_minus_first,0.0061679184
D_65_last_minus_mean,0.0061470172
D_62_max,0.0061177514
D_127_last_minus_mean,0.0060938257
R_12_std,0.006086901
S_26_last,0.00603294
B_17_min,0.0060291807
B_28_last_minus_first,0.0060218154
S_5_first,0.006002835
B_5_min,0.0059821554
S_9_first,0.005946042
D_47_std,0.005911109
D_76_first,0.0058516376
D_48_min,0.005851428
D_122_min,0.005811317
R_6_last_minus_mean,0.005792639
S_6_mean,0.0057775546
D_91_last,0.0057743313
D_122_last,0.005761917
P_3_last,0.005700423
D_62_last_minus_mean,0.005699607
R_16_last_minus_mean,0.005657277
D_115_last_minus_first,0.005609712
S_23_last_minus_first,0.0056055314
B_40_last,0.0055791
B_12_std,0.005578546
R_16_mean,0.0055743484
B_5_last_minus_first,0.0055102003
R_5_last_minus_first,0.005500203
B_6_min,0.0054938463
S_8_min,0.0054766703
R_26_first,0.0054615038
B_20_last_minus_mean,0.0054418757
B_28_std,0.0054378663
D_50_first,0.0054059997
D_102_std,0.0053893896
B_25_last_minus_mean,0.0053179567
S_27_first,0.0053076474
R_3_std,0.005303553
D_145_last_minus_mean,0.0052861217
B_16_first,0.0052661644
D_69_mean,0.00525943
