,gain
B_13_last_minus_mean,63
D_104_mean,63
S_27_max,63
D_43_min,63
R_22_last_minus_mean,63
D_54_mean,63
D_121_std,63
D_77_first,62
D_105_mean,62
R_15_mean,62
B_9_max,62
R_14_last_minus_mean,62
R_4_last_minus_mean,62
R_12_last_minus_mean,62
D_56_min,62
D_56_max,62
S_20_last_minus_mean,62
B_6_mean,62
D_131_std,61
B_17_first,61
B_28_last_minus_mean,61
D_115_max,61
R_3_max,61
B_36_last_minus_mean,61
S_24_last,61
S_11_last,61
D_119_max,61
D_72_std,61
S_8_last_minus_first,61
D_60_last,60
D_120_last_minus_mean,60
D_80_std,60
D_129_std,60
D_91_last_minus_mean,60
D_102_std,60
S_7_first,59
D_61_min,59
S_13_std,59
B_6_last_minus_mean,59
B_6_last_minus_first,59
B_37_max,59
S_5_max,59
B_14_std,59
S_13_last_minus_first,59
B_37_min,59
S_11_last_minus_mean,59
D_121_last_minus_mean,59
S_15_max,59
B_18_last_minus_mean,59
B_24_mean,58
D_77_last,58
D_56_std,58
D_119_last_minus_mean,58
D_112_mean,58
D_53_mean,58
S_26_last_minus_mean,58
S_19_last_minus_mean,58
S_24_last_minus_first,58
B_18_last,58
D_115_last_minus_mean,58
R_21_last_minus_mean,58
S_12_min,58
D_105_last_minus_mean,57
D_48_min,57
S_11_first,57
D_58_last_minus_mean,57
D_133_std,57
B_5_max,57
D_117_std,57
B_16_std,57
B_19_last_minus_first,56
R_8_mean,56
B_38_mean,56
B_22_last_minus_mean,56
S_26_max,56
B_14_mean,56
D_124_std,56
R_17_last_minus_mean,56
D_72_last_minus_mean,56
S_25_last,56
D_92_last_minus_mean,56
R_26_first,55
S_18_last_minus_mean,55
D_80_mean,55
R_6_last_minus_mean,55
D_102_mean,55
D_50_first,55
D_47_last_minus_mean,55
B_4_min,55
D_62_max,55
S_7_min,55
B_24_last_minus_mean,55
D_125_mean,55
B_26_mean,54
D_86_last_minus_mean,54
R_26_std,54
S_20_mean,54
D_42_last_minus_mean,54
R_18_last_minus_mean,54
D_89_last_minus_mean,54
B_26_last_minus_mean,54
R_7_last_minus_mean,54
B_25_std,53
B_10_mean,53
B_13_std,53
D_56_last_minus_mean,53
B_15_mean,52
R_20_last_minus_mean,52
D_104_std,52
D_133_max,52
D_102_max,52
B_2_min,52
D_46_last_minus_first,52
S_27_first,52
D_54_last_minus_mean,52
D_52_min,52
D_82_last_minus_mean,51
S_6_last_minus_mean,51
D_81_last_minus_mean,51
R_23_last_minus_mean,51
R_19_last_minus_mean,51
D_52_std,51
D_115_last,51
B_25_last,51
